company_name,cin,financial_year,cohort,sector,revenue,pat,interest_expense,depreciation,tax_expense,ebitda,total_equity,total_borrowings,current_assets,current_liabilities,total_assets,cash_and_equivalents,inventory,receivables,retained_earnings,cfo,cfi,cff,net_cash_change,capex,opinion_type,going_concern_uncertainty,emphasis_of_matter,fraud_reported,auditor_name,related_party_transactions_amount,contingent_liabilities_amount,rpt_count,pending_legal_cases_count,promoter_holding_pct
ABG Shipyard Ltd,L61200GJ1985PLC007730,2016,defaulter,Shipbuilding,34.17,-3704.71,857.13,81.51,-19.38,-2784.45,-2822.21,8730.67,8019.63,8888.17,11092.25,94.72,5007.53,81.99,-3246.61,-680.83,-374.27,1074.45,19.34,,unqualified,0,0,0,Nisar & Kumar,,1948.64,,,33.26
ABG Shipyard Ltd,L61200GJ1985PLC007730,2015,defaulter,Shipbuilding,385.73,-897.70,804.78,99.18,-288.19,-282.53,802.48,6613.96,9097.64,7170.51,12354.59,50.85,4950.41,79.53,453.03,-885.86,-445.81,1187.51,-144.16,,unqualified,0,0,0,Nisar & Kumar,,2001.65,,,58.67
ABG Shipyard Ltd,L61200GJ1985PLC007730,2014,defaulter,Shipbuilding,1468.87,-199.30,608.93,91.78,-96.87,4.54,1369.85,4877.53,8677.67,7482.45,12187.84,182.55,4351.24,129.93,1277.94,-232.48,-330.64,720.12,157.00,,unqualified,0,0,0,Nisar & Kumar,,1550.64,,,67.92
Alok Industries Ltd,L17110DN1986PLC000334,2016,defaulter,Textiles,11749.0,-4206.0,2705.0,1016.0,-6360.0,-2639.0,6430.0,20102.0,,,32692.0,,,,5072.0,-2518.0,79.0,2365.0,-75.0,,,,,,,,,,,
Alok Industries Ltd,L17110DN1986PLC000334,2015,defaulter,Textiles,22130.72,348.76,3251.16,1461.21,209.28,5270.41,5415.82,13267.59,18879.27,13059.48,29352.44,634.75,8284.58,7531.75,4038.49,3374.0,-736.0,-3274.0,-636.0,,,,,,,,1853.02,,,
Alok Industries Ltd,L17110DN1986PLC000334,2013,defaulter,Textiles,19917.75,920.16,2260.66,1360.77,479.74,5021.33,5088.12,13726.18,13226.63,9699.61,24731.69,882.65,5726.47,5025.96,3710.99,,,,,,,,,,,,3195.14,,,
Asian Star Company Ltd,L36910MH1995PLC086017,2017,defaulter,Gems & Jewellery,2697.0,44.0,27.0,16.0,67.0,110.0,648.0,779.0,,,1776.0,,,,632.0,129.0,-41.0,-67.0,21.0,,,,,,,,,,,
Asian Star Company Ltd,L36910MH1995PLC086017,2016,defaulter,Gems & Jewellery,2373.0,40.0,21.0,14.0,56.0,91.0,608.0,821.0,,,1758.0,,,,592.0,58.0,-15.0,-31.0,11.0,,,,,,,,,,,
Asian Star Company Ltd,L36910MH1995PLC086017,2015,defaulter,Gems & Jewellery,2274.0,43.0,24.0,15.0,61.0,100.0,501.0,839.0,,,1660.0,,,,485.0,22.0,-14.0,-10.0,-2.0,,,,,,,,,,,
Bhushan Steel Limited,L27109DL1990PLC040690,2016,defaulter,Steel & Metals,11802.63,-2839.37,4582.30,1099.74,-734.48,2108.20,4724.82,42355.53,12429.68,15832.87,54159.06,163.33,8808.58,2351.16,4498.02,-270.28,-119.17,465.93,76.48,-755.21,,,,,,,,,,2907.58
Bhushan Steel Limited,L27109DL1990PLC040690,2015,defaulter,Steel & Metals,10645.77,-1253.83,2494.03,938.40,-1.12,2177.48,7880.57,38529.27,11665.82,12089.86,52907.52,86.84,7321.23,2398.29,7705.05,2173.23,-1402.79,-766.56,3.88,-1717.24,1345.83,,,,,,,,,
Bhushan Steel Limited,L27109DL1990PLC040690,2014,defaulter,Steel & Metals,9675.83,61.96,1663.30,963.96,33.37,2722.59,9153.13,31839.18,10453.04,12804.69,51060.74,82.96,6480.25,2464.45,9004.10,2311.36,-5031.11,2649.09,-70.67,-4887.47,,,,,,,,,,2907.58
Cox & Kings Limited,L63040MH1939PLC011352,2018,defaulter,Travel / Aviation / Hospitality,2623.0,176.0,111.0,31.0,280.0,422.0,3010.0,1989.0,,,5433.0,,,,2922.0,-637.0,134.0,579.0,76.0,,,,,,,,,,,
Cox & Kings Limited,L63040MH1939PLC011352,2017,defaulter,Travel / Aviation / Hospitality,3117.0,181.0,69.0,25.0,277.0,371.0,2856.0,1283.0,,,4504.0,,,,2768.0,-134.0,-57.0,154.0,-38.0,,,,,,,,,,,
Cox & Kings Limited,L63040MH1939PLC011352,2016,defaulter,Travel / Aviation / Hospitality,2848.0,165.0,59.0,30.0,254.0,343.0,2529.0,1231.0,,,4170.0,,,,2444.0,253.0,-778.0,624.0,99.0,,,,,,,,,,,
Deccan Chronicle Holdings,L22122TG2002PLC040110,2012,defaulter,Media,786.08,-1040.40,733.88,81.23,-82.98,-308.28,10.01,3902.90,311.32,4042.16,4217.55,15.87,21.08,131.15,-31.78,90.52,-114.41,-664.03,-687.92,,,,,,,,142.70,,,
Deccan Chronicle Holdings,L22122TG2002PLC040110,2011,defaulter,Media,976.16,162.58,59.01,51.57,74.30,347.47,1280.14,713.47,1225.47,559.67,2208.60,703.80,133.41,245.11,1231.45,140.31,-35.07,6.92,112.15,,,,,,,,1.64,,,
Deccan Chronicle Holdings,L22122TG2002PLC040110,2010,defaulter,Media,892.50,260.92,44.29,42.25,132.73,480.19,1258.01,342.32,1034.74,373.06,2053.09,591.64,62.04,195.55,1209.57,399.65,-34.37,-133.32,231.97,,,,,,,,,,,
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2014,defaulter,Pharma,483.47,7.92,260.06,29.16,9.93,-72.97,785.60,544.64,721.30,786.48,1935.77,538.39,27.90,84.47,765.03,1153.39,-14.99,-687.85,450.55,,,,,,,,166.95,,,
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2013,defaulter,Pharma,1233.10,93.74,137.97,36.52,21.97,295.28,777.83,972.26,698.23,840.22,2208.23,87.83,159.26,328.37,757.26,-26.84,-48.17,33.51,-41.50,,,,,,,,217.81,,,
Elder Pharmaceuticals Ltd,L24239MH1983PLC029714,2012,defaulter,Pharma,984.69,84.07,89.02,27.64,19.44,226.46,691.76,780.87,718.36,582.50,1714.34,129.34,221.25,284.47,671.19,19.48,-145.18,3.36,-122.34,,,,,,,,300.86,,,
Era Infra Engineering,L74899DL1990PLC041350,2017,defaulter,Infrastructure,1211.0,-1295.0,897.0,194.0,-1295.0,-204.0,-1757.0,7769.0,,,8132.0,,,,-1823.0,257.0,-245.0,-23.0,-11.0,,,,,,,,,,,
Era Infra Engineering,L74899DL1990PLC041350,2016,defaulter,Infrastructure,1211.0,-1316.0,751.0,196.0,-1316.0,-369.0,-464.0,7297.0,,,8569.0,,,,-530.0,530.0,-1.0,-552.0,-23.0,,,,,,,,,,,
Era Infra Engineering,L74899DL1990PLC041350,2015,defaulter,Infrastructure,1698.0,-657.0,658.0,198.0,-656.0,200.0,847.0,6693.0,,,8963.0,,,,781.0,248.0,-45.0,-165.0,38.0,,,,,,,,,,,
Gammon India Ltd,L74999DL1922PLC000997,2017,defaulter,Infrastructure,712.02,-1659.92,518.90,32.65,-2.80,193.92,643.58,3141.31,369.99,2767.75,5970.79,51.79,146.27,60.46,569.47,125.62,34.48,-191.64,-68.79,,,,,,,,3395.60,,,
Gammon India Ltd,L74999DL1922PLC000997,2016,defaulter,Infrastructure,5933.92,100.52,1028.17,261.47,89.12,1535.33,2305.71,4715.00,2587.91,4526.02,10198.10,120.53,1031.82,680.59,2232.43,4.13,-212.88,249.96,31.68,,,,,,,,5126.80,,,
Gammon India Ltd,L74999DL1922PLC000997,2014,defaulter,Infrastructure,2908.63,67.80,452.72,81.85,9.64,612.01,1092.04,4746.10,4632.26,3772.14,9067.84,90.71,1722.51,1352.20,1064.54,-21.03,-12.10,53.62,20.49,,,,,,,,6075.75,,,
Gitanjali Gems Limited,L36911MH1986PLC040689,2017,defaulter,Gems & Jewellery,10464.77,39.72,477.67,16.53,-0.56,533.36,3485.30,5271.37,11647.74,9256.57,13025.76,175.48,2530.55,8567.02,3287.72,549.56,10.49,-534.95,25.11,,unqualified,0,1,0,Ford Rhodes Parks & Co. LLP,,2863.13,,,31.04
Gitanjali Gems Limited,L36911MH1986PLC040689,2016,defaulter,Gems & Jewellery,10750.72,44.86,463.52,19.88,-4.99,523.26,3372.00,5586.12,9380.35,6829.37,10784.34,134.29,1835.66,6910.15,3225.88,687.60,24.08,-681.48,30.19,,,,,,Ford Rhodes Parks & Co. LLP,,3325.22,,,34.89
Gitanjali Gems Limited,L36911MH1986PLC040689,2015,defaulter,Gems & Jewellery,7157.93,18.86,523.65,4.59,-0.32,546.78,2914.28,5034.51,7795.88,5837.15,9432.00,70.11,2025.85,5423.80,2773.54,251.37,-1.59,-310.17,-60.38,,,,,,Ford Rhodes Parks & Co. LLP,,4223.32,,,35.26
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,2018,defaulter,Infrastructure,4013.14,77.53,659.97,122.94,34.44,894.88,2774.94,3311.13,5955.72,6077.03,11226.23,197.44,179.33,2397.79,2673.39,1317.63,,,,,-12.80,,,,,,,,,887.16
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,2017,defaulter,Infrastructure,3716.84,59.41,772.37,125.28,37.55,994.61,2689.98,3980.91,6114.01,5604.14,11203.98,119.61,233.31,2086.55,2588.90,639.48,,,,,-207.88,,,,,,,,,868.95
HCC (Hindustan Construction Co Ltd),L26922MH1926PLC000407,2016,defaulter,Infrastructure,3708.41,94.76,701.71,152.47,45.66,994.60,1803.32,4661.35,4560.13,5535.87,10013.74,95.36,173.47,503.84,1725.40,370.96,,,,,-23.74,,,,,,,,,939.67
Hanung Toys and Textiles,L74999DL1990PLC041722,2017,defaulter,Textiles,9.0,-110.0,0.0,52.0,-86.0,-34.0,-2235.0,2148.0,,,658.0,,,,-2266.0,18.0,0.0,-18.0,-0.0,,,,,,,,,,,
Hanung Toys and Textiles,L74999DL1990PLC041722,2016,defaulter,Textiles,93.0,-1093.0,278.0,53.0,-958.0,-627.0,-2125.0,2193.0,,,780.0,,,,-2156.0,-18.0,2.0,7.0,-9.0,,,,,,,,,,,
Hanung Toys and Textiles,L74999DL1990PLC041722,2015,defaulter,Textiles,127.0,-1267.0,272.0,62.0,-1267.0,-933.0,-1031.0,2568.0,,,1566.0,,,,-1062.0,-10.0,5.0,10.0,5.0,,,,,,,,,,,
IVRCL Limited,L45201AP1987PLC007959,2016,defaulter,Infrastructure,2362.0,-1068.0,678.0,80.0,-1108.0,-350.0,436.0,4961.0,,,8437.0,,,,290.0,-130.0,-44.0,152.0,-22.0,,,,,,,,,,,
IVRCL Limited,L45201AP1987PLC007959,2015,defaulter,Infrastructure,3117.0,-672.0,653.0,90.0,-672.0,71.0,1136.0,4760.0,,,8871.0,,,,1044.0,-410.0,-71.0,479.0,-2.0,,,,,,,,,,,
IVRCL Limited,L45201AP1987PLC007959,2014,defaulter,Infrastructure,4305.0,-717.0,585.0,88.0,-697.0,-24.0,1450.0,3990.0,,,8359.0,,,,1389.0,-509.0,-118.0,650.0,23.0,,,,,,,,,,,
JVL Agro Industries,L15140UP1989PLC011396,2018,defaulter,FMCG / Foods / Agro,3190.0,80.0,94.0,20.0,-325.0,-211.0,-381.0,1040.0,,,1629.0,,,,-398.0,-295.0,-9.0,243.0,-61.0,,,,,,,,,,,
JVL Agro Industries,L15140UP1989PLC011396,2017,defaulter,FMCG / Foods / Agro,3857.0,32.0,70.0,18.0,36.0,124.0,603.0,413.0,,,2184.0,,,,586.0,-130.0,24.0,139.0,33.0,,,,,,,,,,,
JVL Agro Industries,L15140UP1989PLC011396,2016,defaulter,FMCG / Foods / Agro,4110.0,48.0,64.0,18.0,57.0,139.0,571.0,275.0,,,2156.0,,,,554.0,-204.0,18.0,-1.0,-186.0,,,,,,,,,,,
Jaiprakash Associates Ltd,L14106UP1995PLC019017,2016,defaulter,Cement,8656.0,-2821.0,3757.0,914.0,-3989.0,682.0,11924.0,27765.0,,,49614.0,,,,11438.0,3892.0,519.0,-4762.0,-351.0,,,,,,,,,,,
Jaiprakash Associates Ltd,L14106UP1995PLC019017,2015,defaulter,Cement,11050.0,-1279.0,3563.0,949.0,-1832.0,2680.0,18395.0,30886.0,,,57069.0,,,,17909.0,1011.0,-105.0,-858.0,49.0,,,,,,,,,,,
Jaiprakash Associates Ltd,L14106UP1995PLC019017,2014,defaulter,Cement,13116.0,414.0,2863.0,774.0,340.0,3977.0,13697.0,28164.0,,,48852.0,,,,13253.0,263.0,-1638.0,943.0,-432.0,,,,,,,,,,,
Jaypee Infratech Ltd,L45203UP2007PLC033119,2016,defaulter,Infrastructure,2800.0,-357.0,1031.0,34.0,-455.0,610.0,6008.0,9149.0,,,18300.0,,,,4619.0,1135.0,-230.0,-959.0,-54.0,,,,,,,,,,,
Jaypee Infratech Ltd,L45203UP2007PLC033119,2015,defaulter,Infrastructure,3248.0,355.0,897.0,28.0,429.0,1354.0,6352.0,8753.0,,,19563.0,,,,4963.0,2053.0,251.0,-2600.0,-296.0,,,,,,,,,,,
Jaypee Infratech Ltd,L45203UP2007PLC033119,2014,defaulter,Infrastructure,3319.0,299.0,896.0,21.0,400.0,1317.0,6055.0,8436.0,,,20360.0,,,,4666.0,528.0,516.0,-907.0,137.0,,,,,,,,,,,
Jyoti Structures Ltd,L45200MH1974PLC017494,2016,defaulter,Infrastructure,2492.0,-501.0,572.0,53.0,-500.0,125.0,105.0,3636.0,,,5979.0,,,,83.0,-1591.0,-95.0,441.0,-1246.0,,,,,,,,,,,
Jyoti Structures Ltd,L45200MH1974PLC017494,2015,defaulter,Infrastructure,2782.0,-270.0,421.0,34.0,-270.0,185.0,600.0,2660.0,,,5130.0,,,,578.0,-1098.0,-83.0,1170.0,-12.0,,,,,,,,,,,
Jyoti Structures Ltd,L45200MH1974PLC017494,2014,defaulter,Infrastructure,3326.0,32.0,288.0,27.0,52.0,367.0,753.0,1259.0,,,4206.0,,,,737.0,59.0,-51.0,44.0,53.0,,,,,,,,,,,
Kingfisher Airlines,L85110KA1995PLC018045,2014,defaulter,Travel / Aviation / Hospitality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingfisher Airlines,L85110KA1995PLC018045,2013,defaulter,Travel / Aviation / Hospitality,495.0,-4301.0,1436.0,239.0,-4301.0,-2626.0,-13473.0,9960.0,,,2837.0,,,,-14282.0,-1391.0,-70.0,1297.0,-163.0,,,,,,,,,,,
Kingfisher Airlines,L85110KA1995PLC018045,2012,defaulter,Travel / Aviation / Hospitality,5469.0,-2328.0,1276.0,342.0,-3446.0,-1828.0,-5635.0,9272.0,,,9120.0,,,,-6213.0,-886.0,-388.0,1203.0,-70.0,,,,,,,,,,,
Kwality Ltd,L74899DL1992PLC255519,2017,defaulter,FMCG / Foods / Agro,6131.0,164.0,172.0,22.0,234.0,428.0,999.0,1508.0,,,2745.0,,,,975.0,238.0,-275.0,83.0,47.0,,,,,,,,,,,
Kwality Ltd,L74899DL1992PLC255519,2016,defaulter,FMCG / Foods / Agro,5658.0,135.0,151.0,23.0,205.0,379.0,763.0,1335.0,,,2261.0,,,,741.0,9.0,-100.0,107.0,15.0,,,,,,,,,,,
Kwality Ltd,L74899DL1992PLC255519,2015,defaulter,FMCG / Foods / Agro,5268.0,141.0,136.0,25.0,170.0,331.0,608.0,1098.0,,,1855.0,,,,586.0,192.0,-164.0,-17.0,12.0,,,,,,,,,,,
Lanco Infratech Ltd,L45200TG1993PLC015545,2016,defaulter,Infrastructure,2671.0,-453.0,933.0,110.0,-453.0,590.0,1905.0,7573.0,,,18839.0,,,,1631.0,-1593.0,786.0,528.0,-279.0,,,,,,,,,,,
Lanco Infratech Ltd,L45200TG1993PLC015545,2015,defaulter,Infrastructure,1396.0,-672.0,772.0,121.0,-718.0,175.0,2030.0,6799.0,,,20491.0,,,,1785.0,43.0,-211.0,358.0,190.0,,,,,,,,,,,
Lanco Infratech Ltd,L45200TG1993PLC015545,2014,defaulter,Infrastructure,2236.0,-960.0,628.0,117.0,-960.0,-215.0,2674.0,5695.0,,,19182.0,,,,2435.0,-183.0,61.0,198.0,76.0,,,,,,,,,,,
Mawana Sugars Ltd,L15421DL2002PLC118184,2023,defaulter,FMCG / Foods / Agro,1482.0,17.0,28.0,36.0,19.0,83.0,417.0,383.0,,,1061.0,,,,378.0,109.0,-39.0,-76.0,-6.0,,,,,,,,,,,
Mawana Sugars Ltd,L15421DL2002PLC118184,2022,defaulter,FMCG / Foods / Agro,1478.0,33.0,26.0,40.0,45.0,111.0,413.0,417.0,,,1075.0,,,,374.0,-151.0,-14.0,107.0,-57.0,,,,,,,,,,,
Mawana Sugars Ltd,L15421DL2002PLC118184,2021,defaulter,FMCG / Foods / Agro,1469.0,74.0,35.0,48.0,107.0,190.0,392.0,276.0,,,1401.0,,,,353.0,164.0,121.0,-243.0,43.0,,,,,,,,,,,
Metalyst Forgings,L28910MH1977PLC019569,2016,defaulter,Engineering / Manufacturing,869.0,-273.0,198.0,142.0,-360.0,-20.0,811.0,2767.0,,,4607.0,,,,774.0,158.0,-58.0,-99.0,1.0,,,,,,,,,,,
Metalyst Forgings,L28910MH1977PLC019569,2015,defaulter,Engineering / Manufacturing,2345.0,-54.0,368.0,190.0,-81.0,477.0,1081.0,2862.0,,,4814.0,,,,1044.0,745.0,-400.0,-436.0,-91.0,,,,,,,,,,,
Metalyst Forgings,L28910MH1977PLC019569,2014,defaulter,Engineering / Manufacturing,2395.0,193.0,199.0,137.0,282.0,618.0,1096.0,2563.0,,,4212.0,,,,1059.0,331.0,-339.0,-96.0,-104.0,,,,,,,,,,,
Nakoda Limited,L17111GJ1984PLC045995,2020,defaulter,Textiles,25.09,0.03,2.42,0.98,0.11,3.51,13.89,21.74,,,38.36,,,,7.04,3.43,-2.52,-0.85,0.06,,,,,,,,,,,
Nakoda Limited,L17111GJ1984PLC045995,2019,defaulter,Textiles,51.98,0.88,2.07,0.87,0.97,3.91,13.86,20.65,,,37.88,,,,7.01,0.72,-0.78,0.17,0.11,,,,,,,,,,,
Nakoda Limited,L17111GJ1984PLC045995,2018,defaulter,Textiles,48.3,1.0,1.88,0.62,1.41,3.91,6.51,24.97,,,33.83,,,,1.51,-0.55,-5.22,5.75,-0.02,,,,,,,,,,,
PC Jeweller Ltd,L36911DL2005PLC134929,2022,defaulter,Gems & Jewellery,1573.0,-390.0,442.0,26.0,-508.0,-40.0,3883.0,3391.0,,,7538.0,,,,3418.0,-727.0,118.0,575.0,-34.0,,,,,,,,,,,
PC Jeweller Ltd,L36911DL2005PLC134929,2021,defaulter,Gems & Jewellery,2668.0,61.0,396.0,33.0,4.0,433.0,4275.0,2414.0,,,7864.0,,,,3810.0,97.0,98.0,-155.0,40.0,,,,,,,,,,,
PC Jeweller Ltd,L36911DL2005PLC134929,2020,defaulter,Gems & Jewellery,4939.0,78.0,374.0,35.0,124.0,533.0,4002.0,2426.0,,,7882.0,,,,3607.0,60.0,41.0,-169.0,-68.0,,,,,,,,,,,
PSL Limited,L67120DD1987PLC002395,2018,defaulter,Engineering / Manufacturing,218.0,68.0,0.0,8.0,101.0,109.0,412.0,0.0,,,439.0,,,,393.0,70.0,-71.0,-0.0,-0.0,,,,,,,,,,,
PSL Limited,L67120DD1987PLC002395,2017,defaulter,Engineering / Manufacturing,224.0,69.0,0.0,5.0,101.0,106.0,345.0,0.0,,,368.0,,,,326.0,50.0,-50.0,-0.0,-1.0,,,,,,,,,,,
PSL Limited,L67120DD1987PLC002395,2016,defaulter,Engineering / Manufacturing,224.0,71.0,0.0,4.0,104.0,108.0,275.0,0.0,,,298.0,,,,256.0,50.0,-9.0,-49.0,-9.0,,,,,,,,,,,
Parekh Aluminex,L27203MH1994PLC080732,2012,defaulter,Engineering / Manufacturing,1369.75,84.66,71.44,59.92,35.68,251.70,446.10,994.10,893.65,766.17,1576.36,43.18,335.50,346.17,433.16,-265.37,-184.57,455.39,5.45,,,,,,,,130.13,,,
Parekh Aluminex,L27203MH1994PLC080732,2011,defaulter,Engineering / Manufacturing,902.35,67.25,36.31,44.19,13.95,161.70,368.32,536.55,431.51,271.22,988.55,37.73,175.22,194.21,355.38,-19.46,-109.83,127.09,-2.20,,,,,,,,139.42,,,
Parekh Aluminex,L27203MH1994PLC080732,2010,defaulter,Engineering / Manufacturing,634.16,45.39,26.80,25.17,12.99,110.51,306.34,405.94,316.08,217.21,806.91,39.92,109.53,128.78,293.40,36.84,-219.49,194.90,12.26,,,,,,,,0.20,,,
Pratibha Industries,L45200MH1995PLC090760,2017,defaulter,Infrastructure,1061.0,-824.0,466.0,49.0,-923.0,-408.0,338.0,4308.0,,,5480.0,,,,290.0,-104.0,-664.0,768.0,1.0,,,,,,,,,,,
Pratibha Industries,L45200MH1995PLC090760,2016,defaulter,Infrastructure,2819.0,47.0,421.0,54.0,90.0,565.0,747.0,3487.0,,,5746.0,,,,727.0,-182.0,-626.0,766.0,-41.0,,,,,,,,,,,
